Authors,Pub.Year,Journal,Vol:p-p,StudyID,Species,Year/Year Span,Year,Population,Trait Name,Fitness Measure Defined,N,Grad.linear.value,Grad.linear.StErr,Diff.linear.value,Diff.linear.StErr,Mean.trait.value,Trait.StDev,trait.StErr,trait.Var
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,flower size,male fitness (pollinaria removal),32,-0.055,,0.013,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of column,male fitness (pollinaria removal),25,0.017,,-0.002,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,width of sepal dorsal,male fitness (pollinaria removal),26,0.002,,0.029,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of posterior petal lobe,male fitness (pollinaria removal),26,0.069,,0.008,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,width of posterior petal lobe,male fitness (pollinaria removal),26,0.082,,-0.016,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of anterior petal lobe,male fitness (pollinaria removal),26,-0.052,,-0.058,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,width of anterior petal lobe,male fitness (pollinaria removal),26,0.004,,0.037,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,front lip length,male fitness (pollinaria removal),25,0.086,,-0.043,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,frontlip width,male fitness (pollinaria removal),25,0.094,,-0.063,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,mid lobe length,male fitness (pollinaria removal),25,0.104,,0.139,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),25,0.128,,0.021,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,distance between sepals,male fitness (pollinaria removal),25,0.006,,-0.001,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,flower size,male fitness (pollinaria removal),28,0.025,,-0.001,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of column,male fitness (pollinaria removal),35,0.04,,0.045,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,width of sepal dorsal,male fitness (pollinaria removal),34,-0.06,,0.022,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of posterior petal lobe,male fitness (pollinaria removal),33,-0.049,,-0.027,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,width of posterior petal lobe,male fitness (pollinaria removal),34,-0.018,,-0.021,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of anterior petal lobe,male fitness (pollinaria removal),34,-0.087,,-0.059,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,width of anterior petal lobe,male fitness (pollinaria removal),34,0.021,,0.003,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,front lip length,male fitness (pollinaria removal),34,0.001,,0.052,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,frontlip width,male fitness (pollinaria removal),34,0.024,,0.083,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,mid lobe length,male fitness (pollinaria removal),32,0.004,,-0.013,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),33,-0.093,,-0.017,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,distance between sepals,male fitness (pollinaria removal),34,-0.008,,0.024,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,flower size,male fitness (pollinaria removal),35,0.095,,0.042,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of column,male fitness (pollinaria removal),23,-0.093,,0.034,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,width of sepal dorsal,male fitness (pollinaria removal),22,-0.094,,-0.039,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of posterior petal lobe,male fitness (pollinaria removal),22,-0.019,,0.01,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,width of posterior petal lobe,male fitness (pollinaria removal),22,0.195,,0.017,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of anterior petal lobe,male fitness (pollinaria removal),22,-0.203,,-0.052,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,width of anterior petal lobe,male fitness (pollinaria removal),22,0.391,,-0.055,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,front lip length,male fitness (pollinaria removal),21,0.057,,0.035,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,frontlip width,male fitness (pollinaria removal),21,0.036,,-0.041,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,mid lobe length,male fitness (pollinaria removal),21,0.139,,-0.112,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),21,1.067,,-0.236,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,distance between sepals,male fitness (pollinaria removal),22,0.002,,0.042,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,flower size,male fitness (pollinaria removal),25,0.047,,-0.011,,,,,
