Authors,Pub.Year,Journal,Vol:p-p,StudyID,Species,Year/Year Span,Year,Population,Trait Name,Fitness Measure Defined,N,Grad.linear.value,Grad.linear.StErr,Diff.linear.value,Diff.linear.StErr,Mean.trait.value,Trait.StDev,trait.StErr,trait.Var
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of posterior petal lobe,female fitness (fruit set),15,-0.213,,0.056,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of posterior petal lobe,female fitness (fruit set),15,-0.51,,0.036,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of anterior petal lobe,female fitness (fruit set),15,0.217,,-0.033,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of anterior petal lobe,female fitness (fruit set),15,0.633,,0.012,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,front lip length,female fitness (fruit set),15,0.131,,0.089,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,frontlip width,female fitness (fruit set),15,0.349,,0.047,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,mid lobe length,female fitness (fruit set),15,0.929,,-0.351,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),15,1.586,,0.441,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,distance between sepals,female fitness (fruit set),15,-0.066,,-0.007,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,flower size,female fitness (fruit set),21,-0.241,,0.009,,,,,
